t,# Iterations,AltMin FLOPs,MSPIN FLOPs,Total FLOPs
0.0,1,4646687.0,0.0,4669103.0
0.01,1,572406806.0,0.0,572429222.0
0.02,1,572417126.0,0.0,572439542.0
0.03,2,859809771.0,0.0,859843395.0
0.04,2,862235397.0,0.0,862269021.0
0.05,2,861994080.0,0.0,862027704.0
0.06,2,862002662.0,0.0,862036286.0
0.07,2,862174746.0,0.0,862208370.0
0.08,2,866001158.0,0.0,866034782.0
0.09,2,862184781.0,0.0,862218405.0
0.1,2,869350008.0,0.0,869383632.0
0.11,2,861703634.0,0.0,861737258.0
0.12,2,873624804.0,0.0,873658428.0
0.13,3,1149262878.0,0.0,1149307710.0
0.14,3,1165522555.0,0.0,1165567387.0
0.15,3,1151345541.0,0.0,1151390373.0
0.16,3,1163372522.0,0.0,1163417354.0
0.17,3,1152567897.0,0.0,1152612729.0
0.18,4,1445923362.0,0.0,1445979402.0
0.19,4,1439330820.0,0.0,1439386860.0
0.2,4,1444475797.0,0.0,1444531837.0
0.21,5,1722745378.0,0.0,1722812626.0
0.22,6,2007376439.0,0.0,2007454895.0
0.23,6,1998878955.0,0.0,1998957411.0
0.24,8,2565241794.0,0.0,2565342666.0
0.25,9,2840322433.0,0.0,2840434513.0
0.26,13,3950371660.0,0.0,3950528572.0
0.27,23,6757196740.0,0.0,6757465732.0
0.28,1000,289469932497.0,0.0,289481151705.0
0.29,253,75747714807.0,0.0,75750561639.0
0.3,243,72965342004.0,0.0,72968076756.0
0.31,397,119967310505.0,0.0,119971771289.0
0.32,297,90407274415.0,0.0,90410614399.0
0.33,158,48294106361.0,0.0,48295888433.0
0.34,426,130085403657.0,0.0,130090189473.0
0.35000000000000003,234,71855768564.0,0.0,71858402444.0
0.36,181,55896194612.0,0.0,55898234468.0
0.37,224,69738072351.0,0.0,69740594151.0
0.38,202,62828543935.0,0.0,62830819159.0
0.39,297,92958326727.0,0.0,92961666711.0
0.4,272,85739238620.0,0.0,85742298404.0
0.41000000000000003,765,243732709643.0,0.0,243741294971.0
0.42,509,164138096920.0,0.0,164143813000.0
0.43,2,1053923657.0,0.0,1053957281.0
0.44,2,1055450876.0,0.0,1055484500.0
0.45,2,1055689785.0,0.0,1055723409.0
0.46,2,1055852688.0,0.0,1055886312.0
0.47000000000000003,2,1058665401.0,0.0,1058699025.0
0.48,2,1060944221.0,0.0,1060977845.0
0.49,2,1051425046.0,0.0,1051458670.0
0.5,2,1045154964.0,0.0,1045188588.0
0.51,2,1064069053.0,0.0,1064102677.0
0.52,2,1065525659.0,0.0,1065559283.0
0.53,3,1425962650.0,0.0,1426007482.0
0.54,3,1429591779.0,0.0,1429636611.0
0.55,3,1431366529.0,0.0,1431411361.0
0.56,3,1431504026.0,0.0,1431548858.0
0.5700000000000001,3,1432909217.0,0.0,1432954049.0
0.58,3,1433520774.0,0.0,1433565606.0
0.59,3,1433074828.0,0.0,1433119660.0
0.6,3,1433121881.0,0.0,1433166713.0
0.61,3,1433933736.0,0.0,1433978568.0
0.62,3,1433812914.0,0.0,1433857746.0
0.63,3,1433869866.0,0.0,1433914698.0
0.64,3,1434178717.0,0.0,1434223549.0
0.65,3,1434295599.0,0.0,1434340431.0
0.66,3,1434662683.0,0.0,1434707515.0
0.67,3,1434665714.0,0.0,1434710546.0
0.68,3,1434542083.0,0.0,1434586915.0
0.6900000000000001,3,1434359017.0,0.0,1434403849.0
0.7000000000000001,3,1434416349.0,0.0,1434461181.0
0.71,3,1434491736.0,0.0,1434536568.0
0.72,3,1434839987.0,0.0,1434884819.0
0.73,3,1434438485.0,0.0,1434483317.0
0.74,3,1434329245.0,0.0,1434374077.0
0.75,3,1434616099.0,0.0,1434660931.0
0.76,3,1434709894.0,0.0,1434754726.0
0.77,3,1434746041.0,0.0,1434790873.0
0.78,3,1434358824.0,0.0,1434403656.0
0.79,3,1434721476.0,0.0,1434766308.0
0.8,3,1434427657.0,0.0,1434472489.0
0.81,3,1434268944.0,0.0,1434313776.0
0.8200000000000001,3,1434318261.0,0.0,1434363093.0
0.8300000000000001,3,1434682483.0,0.0,1434727315.0
0.84,3,1434267757.0,0.0,1434312589.0
0.85,3,1434426902.0,0.0,1434471734.0
0.86,3,1434518258.0,0.0,1434563090.0
0.87,3,1434408245.0,0.0,1434453077.0
0.88,3,1434472433.0,0.0,1434517265.0
0.89,3,1434957241.0,0.0,1435002073.0
0.9,4,1795872037.0,0.0,1795928077.0
0.91,4,1796104053.0,0.0,1796160093.0
0.92,4,1795745452.0,0.0,1795801492.0
0.93,4,1795866984.0,0.0,1795923024.0
0.9400000000000001,4,1795310209.0,0.0,1795366249.0
0.9500000000000001,4,1794382474.0,0.0,1794438514.0
0.96,4,1794180639.0,0.0,1794236679.0
0.97,4,1790490544.0,0.0,1790546584.0
0.98,4,1788303327.0,0.0,1788359367.0
0.99,4,1786557791.0,0.0,1786613831.0
1.0,4,1785888720.0,0.0,1785944760.0
