t,# Iterations,AltMin FLOPs,MSPIN FLOPs,Total FLOPs
0.0,1,4646687.0,659365.0,5485376.0
0.01,1,583859842.0,423118477.0,1007208079.0
0.02,1,574702004.0,414202000.0,989156180.0
0.03,1,574881161.0,413483521.0,988628066.0
0.04,1,574950318.0,413483521.0,988708431.0
0.05,1,575019475.0,413000887.0,988317370.0
0.06,1,574852935.0,412763218.0,987924369.0
0.07,1,574783702.0,411556633.0,986614927.0
0.08,1,574857262.0,410594869.0,985726723.0
0.09,1,574790775.0,410424671.0,985490038.0
0.1,1,574549458.0,409942037.0,984743671.0
0.11,1,574311371.0,409459403.0,984022950.0
0.12,1,574311371.0,572480843.0,1147044390.0
0.13,1,571633782.0,572239526.0,1144103068.0
0.14,1,571323170.0,573032772.0,1144596910.0
0.15,1,571323170.0,573515406.0,1145045920.0
0.16,1,571081853.0,572791455.0,1144069444.0
0.17,1,570599219.0,571343553.0,1142082868.0
0.18,3,1134358918.0,1625570047.0,2760338045.0
0.19,3,1154826475.0,1623398194.0,2778633749.0
0.2,1,578915185.0,546901241.0,1125990146.0
0.21,3,1144691616.0,1626119545.0,2771253865.0
0.22,5,1735682425.0,2860368521.0,4596538474.0
0.23,5,1751543569.0,2803900343.0,4555802548.0
0.24,3,1174650679.0,1622397063.0,2797383970.0
0.25,4,1463807225.0,2077045915.0,3541144532.0
0.26,1,600992984.0,1011499947.0,1612571383.0
0.27,6,2069708410.0,3524613305.0,5594736387.0
0.28,6,2071226485.0,3181521337.0,5253263366.0
0.29,5,1766500196.0,3009114275.0,4776146831.0
0.3,4,1478592829.0,2380444170.0,3859546947.0
0.31,4,1470564187.0,2319095791.0,3790158718.0
0.32,4,1468282820.0,2577084586.0,4045843730.0
0.33,2,888101625.0,1677936463.0,2566363112.0
0.34,3,1155318627.0,1776179000.0,2931929123.0
0.35000000000000003,5,1725402728.0,3547553467.0,5273286811.0
0.36,5,1723150816.0,3428614865.0,5152286833.0
0.37,4,1443891580.0,2575960393.0,4020350713.0
0.38,4,1439686087.0,2166959936.0,3607111139.0
0.39,3,1158199525.0,1832899137.0,2991457306.0
0.4,5,1684273651.0,3093493036.0,4778248611.0
0.41000000000000003,5,1733138603.0,2999818552.0,4733439079.0
0.42,8,2593132244.0,4815739613.0,7409404205.0
0.43,8,2590134340.0,5005726036.0,7596392724.0
0.44,5,1734893458.0,2623936415.0,4359300589.0
0.45,4,1447190044.0,2266267880.0,3713906228.0
0.46,3,1161234012.0,1610805075.0,2772481791.0
0.47000000000000003,3,1158120730.0,1966183166.0,3124712976.0
0.48,3,1147487357.0,1538402198.0,2686197763.0
0.49,4,1441011564.0,3676025308.0,5117322660.0
0.5,2,867885561.0,1138268124.0,2006450689.0
0.51,4,1444027227.0,2228609154.0,3673017437.0
0.52,4,1449216190.0,2649058296.0,4098677958.0
0.53,4,1444526388.0,2590062431.0,4035037123.0
0.54,6,2016943143.0,3905968362.0,5923466277.0
0.55,4,1450605528.0,3078521200.0,4529474160.0
0.56,4,1452202247.0,3070442236.0,4522907855.0
0.5700000000000001,4,1453404334.0,3190086054.0,4643849028.0
0.58,4,1457758262.0,3277455027.0,4735515889.0
0.59,4,1441395175.0,3251906742.0,4693767033.0
0.6,3,1168152543.0,2364936036.0,3533363163.0
0.61,4,1462372508.0,3260700078.0,4723386394.0
0.62,3,1170099153.0,2527386661.0,3697771606.0
0.63,4,1470983246.0,3167983184.0,4639291446.0
0.64,3,1177863887.0,2260221541.0,3438393636.0
0.65,3,1180963230.0,2314596010.0,3495845032.0
0.66,3,1184837917.0,2155242377.0,3340366086.0
0.67,3,1190163726.0,2292168871.0,3482607181.0
0.68,3,1182084421.0,2408135405.0,3590505618.0
0.6900000000000001,3,1200331450.0,2421586130.0,3622203372.0
0.7000000000000001,3,1206159791.0,2433803916.0,3640227083.0
0.71,3,1206860429.0,2381825938.0,3588960951.0
0.72,2,905225283.0,1562468289.0,2467895308.0
0.73,2,906268629.0,1468467785.0,2374876506.0
0.74,3,1209882065.0,2153947990.0,3364082223.0
0.75,3,1218814027.0,2190982103.0,3410070714.0
0.76,4,1526663774.0,2921903562.0,4448892352.0
0.77,3,1224856257.0,2268362041.0,3493576942.0
0.78,3,1232918371.0,2292558403.0,3525947498.0
0.79,3,1240336135.0,2369810305.0,3610516292.0
0.8,2,928380862.0,1550574972.0,2479376126.0
0.81,2,931974141.0,1560198444.0,2492626501.0
0.8200000000000001,3,1246516515.0,2291421850.0,3538420297.0
0.8300000000000001,3,1255864264.0,2483531038.0,3739944482.0
0.84,3,1253613672.0,2438793477.0,3692866665.0
0.85,3,1268542601.0,1964335448.0,3233348773.0
0.86,4,1587902298.0,2766732926.0,4354909804.0
0.87,4,1586407313.0,2848204045.0,4434958790.0
0.88,4,1591059802.0,2744249270.0,4335656504.0
0.89,3,1275128855.0,2119340226.0,3394743665.0
0.9,4,1599629293.0,2829299322.0,4429253631.0
0.91,4,1596228030.0,2837238643.0,4433758065.0
0.92,3,1283641748.0,2201119093.0,3485013009.0
0.93,4,1608084073.0,2990360545.0,4598758426.0
0.9400000000000001,4,1607747290.0,2959654821.0,4567984911.0
0.9500000000000001,3,1280665873.0,1899670848.0,3180880297.0
0.96,4,1596829433.0,3065473289.0,4662863106.0
0.97,4,1632200468.0,2913103402.0,4545808214.0
0.98,2,985669609.0,1559800764.0,2545761773.0
0.99,3,1321520778.0,2455543793.0,3777367175.0
1.0,3,1334609702.0,2472998444.0,3808123702.0
