t,# Iterations,AltMin FLOPs,MSPIN FLOPs,Total FLOPs
0.0,1,4646687.0,659365.0,5479762.0
0.01,1,583791535.0,423118477.0,1007066912.0
0.02,1,574702004.0,414202000.0,989060904.0
0.03,2,862027926.0,803145764.0,1665487488.0
0.04,2,862097083.0,804041927.0,1666452808.0
0.05,2,862166240.0,804041927.0,1666521965.0
0.06,2,861933429.0,896293597.0,1758540824.0
0.07,2,862174746.0,896776231.0,1759264775.0
0.08,2,866519545.0,897267117.0,1764100460.0
0.09,2,862426098.0,892994530.0,1755734426.0
0.1,2,867715465.0,885516173.0,1753545436.0
0.11,2,861944951.0,883344320.0,1745603069.0
0.12,2,873737062.0,882861686.0,1756912546.0
0.13,3,1155966850.0,1505777782.0,2662215328.0
0.14,3,1162602459.0,1496194397.0,2659267552.0
0.15,3,1159995286.0,1483163279.0,2643629261.0
0.16,3,1158792519.0,1522319803.0,2681583018.0
0.17,3,1153087153.0,1505910247.0,2659468096.0
0.18,3,1154789553.0,1475021671.0,2630281920.0
0.19,3,1151949958.0,1543727721.0,2696148375.0
0.2,6,2010081299.0,2926563867.0,4937575350.0
0.21,7,2289619603.0,3519554224.0,5810272115.0
0.22,8,2576614534.0,3949622174.0,6527491894.0
0.23,10,3131540296.0,4899183954.0,8032293232.0
0.24,13,3980884936.0,6279606930.0,10262537146.0
0.25,16,4810467923.0,7392650670.0,12205634567.0
0.26,22,6479401359.0,10231200696.0,16714059417.0
0.27,23,6809648099.0,11005920871.0,17819093574.0
0.28,1000,287220225829.0,515781659255.0,803155180400.0
0.29,773,230033418955.0,418075762995.0,648222799204.0
0.3,137,41361624914.0,76455694172.0,117838130608.0
0.31,872,262766126385.0,529665015975.0,792567128068.0
0.32,484,147178566233.0,385783005906.0,533036373169.0
0.33,225,68608539630.0,167698663610.0,236341967312.0
0.34,613,187194854057.0,453486332054.0,640775476165.0
0.35000000000000003,209,64341414196.0,133017366722.0,197391247612.0
0.36,391,120349022776.0,306195688221.0,426605155873.0
0.37,508,158159421791.0,313260961790.0,471499224989.0
0.38,375,117412964697.0,234745447036.0,352216335331.0
0.39,604,190099395337.0,345552039185.0,535744525328.0
0.4,339,107104548302.0,315129590374.0,422286357608.0
0.41000000000000003,1000,318429653229.0,752365583193.0,1070950027346.0
0.42,638,205046568803.0,497511135876.0,702655715485.0
0.43,233,75888902307.0,184132229422.0,260057151041.0
0.44,3,1427272093.0,1976546508.0,3404289297.0
0.45,3,1426303870.0,1896911898.0,3323686464.0
0.46,3,1426947847.0,1784120026.0,3211538569.0
0.47000000000000003,3,1431033881.0,1955381436.0,3386886013.0
0.48,3,1422305973.0,1952520555.0,3375297224.0
0.49,3,1429074820.0,1935212267.0,3364757783.0
0.5,3,1426985634.0,2013651475.0,3441107805.0
0.51,3,1430290988.0,2033443797.0,3464205481.0
0.52,3,1424418676.0,1994392285.0,3419281657.0
0.53,4,1790442607.0,2730577331.0,4521636326.0
0.54,4,1792168043.0,2758360614.0,4551145045.0
0.55,4,1797784737.0,2777216851.0,4575617976.0
0.56,4,1801033579.0,2763990868.0,4565640835.0
0.5700000000000001,4,1802795284.0,2716293533.0,4519705205.0
0.58,4,1801665993.0,2632376867.0,4434659248.0
0.59,4,1804469039.0,2717606038.0,4522691465.0
0.6,4,1807428535.0,2711851982.0,4519896905.0
0.61,4,1807543140.0,2731461603.0,4539621131.0
0.62,4,1807629385.0,2719220148.0,4527465921.0
0.63,4,1807748719.0,2695152499.0,4503517606.0
0.64,4,1807310501.0,2680004007.0,4487930896.0
0.65,4,1807930309.0,2693591075.0,4502137772.0
0.66,4,1802246554.0,2756125998.0,4558988940.0
0.67,4,1806987717.0,2686676022.0,4494280127.0
0.68,4,1805989517.0,2698087561.0,4504693466.0
0.6900000000000001,4,1807437840.0,2890993887.0,4699048115.0
0.7000000000000001,4,1802876359.0,2932777766.0,4736270513.0
0.71,4,1806796202.0,2911838431.0,4719251021.0
0.72,4,1806920883.0,2811794629.0,4619331900.0
0.73,4,1806092325.0,2895094646.0,4701803359.0
0.74,4,1804795370.0,2883090482.0,4688502240.0
0.75,4,1806768349.0,2873252914.0,4680637651.0
0.76,4,1807467196.0,2759705693.0,4567789277.0
0.77,4,1806855407.0,2719981224.0,4527453019.0
0.78,4,1807977571.0,2719314749.0,4527908708.0
0.79,4,1807763877.0,2662439649.0,4470819914.0
0.8,4,1807690445.0,2750134772.0,4558441605.0
0.81,4,1807565654.0,2758416332.0,4566598374.0
0.8200000000000001,5,2169715950.0,3574792556.0,5745281792.0
0.8300000000000001,5,2168846378.0,3576100105.0,5745719769.0
0.84,5,2168912679.0,3575991020.0,5745676985.0
0.85,5,2168122140.0,3574695042.0,5743590468.0
0.86,5,2168650171.0,3577421005.0,5746844462.0
0.87,5,2169474188.0,3577085755.0,5747333229.0
0.88,5,2168891454.0,3576963154.0,5746627894.0
0.89,5,2170281417.0,3578336687.0,5749391390.0
0.9,5,2169035733.0,3557886318.0,5727695337.0
0.91,6,2539150166.0,4318648154.0,6858717298.0
0.92,6,2538588716.0,4316351308.0,6855859002.0
0.93,6,2536652890.0,4257643628.0,6795215496.0
0.9400000000000001,6,2539184609.0,4259217606.0,6799321193.0
0.9500000000000001,6,2537711573.0,4285707679.0,6824338230.0
0.96,6,2537485811.0,4287001160.0,6825405949.0
0.97,6,2530531121.0,4333506404.0,6864956503.0
0.98,6,2533605984.0,4281230087.0,6815755049.0
0.99,6,2533939485.0,4160199281.0,6695057744.0
1.0,6,2535440629.0,4221941559.0,6758301166.0
