t,# Iterations,AltMin FLOPs,MSPIN FLOPs,Total FLOPs
0.0,1,4646687.0,659365.0,5479774.0
0.01,1,583649834.0,423601111.0,1007419063.0
0.02,1,574702004.0,414202000.0,989100142.0
0.03,2,861855662.0,878092244.0,1740306558.0
0.04,2,862063133.0,882194633.0,1744616418.0
0.05,2,862063133.0,881160260.0,1743610065.0
0.06,2,861933377.0,873342609.0,1735662658.0
0.07,2,867931380.0,881064753.0,1749382805.0
0.08,2,862975205.0,890999608.0,1754361485.0
0.09,3,1156107149.0,1343475961.0,2500132296.0
0.1,3,3097187847.0,1428665194.0,4526402227.0
0.11,3,1168477674.0,1298693165.0,2467748045.0
0.12,3,1163575714.0,1306623194.0,2470776114.0
0.13,4,1449664743.0,2197402359.0,3647801218.0
0.14,4,1437003457.0,2121490231.0,3559255824.0
0.15,5,1741165454.0,2604318558.0,4346436682.0
0.16,3,1167158855.0,1655388197.0,2823096238.0
0.17,3,1166982589.0,1654422929.0,2821926684.0
0.18,3,1156604287.0,1654664246.0,2811817719.0
0.19,3,1164491568.0,1623223741.0,2788264495.0
0.2,4,1435720357.0,2082394446.0,3518820899.0
0.21,4,1439513725.0,2074775029.0,3514994850.0
0.22,5,1740366787.0,2746897883.0,4488189320.0
0.23,5,1744017542.0,2848317431.0,4593231603.0
0.24,6,2021738794.0,3227911872.0,5250760246.0
0.25,9,2896621124.0,4751675073.0,7649921339.0
0.26,7,2292723516.0,3369998392.0,5664027626.0
0.27,17,5214796832.0,8659350572.0,13877330442.0
0.28,612,179071107131.0,300561938676.0,479737559183.0
0.29,104,31255682289.0,61336263365.0,92610786094.0
0.3,103,31260792085.0,62261330905.0,93541148364.0
0.31,193,58942367726.0,110584252113.0,169561717305.0
0.32,87,26816860800.0,57881908578.0,84714533256.0
0.33,110,33749448412.0,65956110894.0,99725974458.0
0.34,203,62774768212.0,126130505567.0,188942472725.0
0.35000000000000003,126,39740488896.0,76434459597.0,116198490645.0
0.36,111,34994602274.0,77648106743.0,112663180207.0
0.37,77,24346173873.0,59987420007.0,84347911946.0
0.38,87,27356772101.0,57234882992.0,84607514239.0
0.39,135,42035939619.0,82031740706.0,124093267919.0
0.4,99,31529559762.0,71636110310.0,103183602674.0
0.41000000000000003,299,95356687830.0,210873744663.0,306284583347.0
0.42,209,67775271593.0,140061913676.0,207874165647.0
0.43,2,1051108976.0,1224053396.0,2275549044.0
0.44,2,1051026348.0,1367253130.0,2418666150.0
0.45,2,1049738038.0,1300676380.0,2350801090.0
0.46,2,1054725420.0,1259894465.0,2315006557.0
0.47000000000000003,2,1057337853.0,1074840650.0,2132565175.0
0.48,2,1052739443.0,1082731226.0,2135862945.0
0.49,2,1061019560.0,1080600641.0,2141984457.0
0.5,2,1054871141.0,1078197803.0,2133461220.0
0.51,2,1065159731.0,1060584590.0,2126136597.0
0.52,2,1066263239.0,1498704872.0,2565360387.0
0.53,2,1064562483.0,1100438517.0,2165393276.0
0.54,2,1067325698.0,1549185309.0,2616903283.0
0.55,2,1068353088.0,1537621261.0,2606366625.0
0.56,2,1068905653.0,1519319569.0,2588617498.0
0.5700000000000001,2,1068861307.0,1526623127.0,2595876710.0
0.58,2,1062915452.0,1519166211.0,2582473939.0
0.59,2,1061751968.0,1523306872.0,2585451116.0
0.6,2,1061308556.0,1535880744.0,2597581576.0
0.61,2,1062840432.0,1542194860.0,2605427568.0
0.62,2,1069950980.0,1541518019.0,2611861275.0
0.63,2,1071662792.0,1540349500.0,2612404568.0
0.64,2,1073013909.0,1529529486.0,2602935671.0
0.65,2,1072789476.0,1460562248.0,2533744000.0
0.66,2,1073099974.0,1278858066.0,2352350316.0
0.67,2,1073077178.0,1221216071.0,2294685525.0
0.68,2,1073495994.0,1253593237.0,2327481507.0
0.6900000000000001,2,1073052241.0,1183917856.0,2257362373.0
0.7000000000000001,2,1073107256.0,1140244920.0,2213744452.0
0.71,2,1073525264.0,1250108306.0,2324025846.0
0.72,2,1073000097.0,1098332402.0,2171724775.0
0.73,2,1072106161.0,1186692155.0,2259190592.0
0.74,2,1070939286.0,1423267084.0,2494598646.0
0.75,2,1068397213.0,1408834992.0,2477624481.0
0.76,2,1069544607.0,1367383924.0,2437320807.0
0.77,2,1069397904.0,1388918561.0,2458708741.0
0.78,2,1068679316.0,1358306854.0,2427378446.0
0.79,3,1435458766.0,2228186430.0,3664199986.0
0.8,3,1436818560.0,2266160147.0,3703561517.0
0.81,3,1436426730.0,2278044343.0,3715025863.0
0.8200000000000001,3,1436504583.0,2298147460.0,3735234853.0
0.8300000000000001,3,1436866608.0,2236669963.0,3674119381.0
0.84,3,1436952954.0,2269367441.0,3706903205.0
0.85,3,1432239128.0,2174377342.0,3607199280.0
0.86,3,1436860885.0,2245892200.0,3683335895.0
0.87,3,1437068630.0,2148259195.0,3585882615.0
0.88,3,1436678852.0,2132913841.0,3570175503.0
0.89,3,1436993350.0,2283785872.0,3721362032.0
0.9,3,1437748930.0,2072435716.0,3510739436.0
0.91,3,1436241531.0,2111130322.0,3547926643.0
0.92,3,1436410117.0,2074035772.0,3511028699.0
0.93,3,1435168244.0,1918016659.0,3353767713.0
0.9400000000000001,3,1434992119.0,1915433288.0,3351008217.0
0.9500000000000001,3,1434777397.0,1928560438.0,3363892625.0
0.96,3,1434527415.0,1926222202.0,3361332427.0
0.97,3,1433031105.0,2084306486.0,3517892381.0
0.98,3,1435203355.0,2345023393.0,3780809558.0
0.99,3,1434435372.0,2232437680.0,3667455862.0
1.0,3,1434505926.0,2257149984.0,3692238720.0
