t,# Iterations,AltMin FLOPs,MSPIN FLOPs,Total FLOPs
0.0,1,4646687.0,659365.0,5479766.0
0.01,1,583867997.0,423118477.0,1007148980.0
0.02,1,582385482.0,414202000.0,996749988.0
0.03,2,862959244.0,834655184.0,1697928234.0
0.04,2,862063185.0,815832458.0,1678215051.0
0.05,2,865153808.0,817521677.0,1682994893.0
0.06,2,873206726.0,818011835.0,1691537969.0
0.07,2,861519924.0,818253152.0,1680092484.0
0.08,2,867429264.0,817777754.0,1685526426.0
0.09,2,2880534373.0,816399109.0,3697252890.0
0.1,2,879939342.0,816644226.0,1696902976.0
0.11,2,879592867.0,816161592.0,1696073867.0
0.12,2,879804318.0,815196324.0,1695320050.0
0.13,3,1167869782.0,1552146509.0,2720486997.0
0.14,3,1171729067.0,1560351287.0,2732551060.0
0.15,3,1171557997.0,1561247260.0,2733275963.0
0.16,3,1171242629.0,1712926801.0,2884640136.0
0.17,3,1168814698.0,1667320444.0,2836605848.0
0.18,3,1168815176.0,1664114028.0,2833399910.0
0.19,4,1455006089.0,2112566032.0,3568199729.0
0.2,4,1440775730.0,2268382014.0,3709785352.0
0.21,4,1452203312.0,2265588899.0,3718419819.0
0.22,5,1741258047.0,2816695256.0,4558732209.0
0.23,5,1738426958.0,2798359988.0,4537565852.0
0.24,6,2021569248.0,3434720541.0,5457225597.0
0.25,8,2593996240.0,4553486513.0,7148732365.0
0.26,10,3164410313.0,5599300488.0,8765268613.0
0.27,25,7423568168.0,13229249353.0,20656734467.0
0.28,648,188748949749.0,283836341695.0,472684968916.0
0.29,126,37999283091.0,68483029487.0,106501566662.0
0.3,134,40429386022.0,69300887139.0,109751012225.0
0.31,204,61348368650.0,102084042507.0,163463886785.0
0.32,160,48596578544.0,88691019364.0,137312534108.0
0.33,84,25783123105.0,48627653492.0,74423771433.0
0.34,220,67055429961.0,121500157265.0,188589993586.0
0.35000000000000003,112,34267149127.0,67758538258.0,102043097893.0
0.36,94,28824581781.0,55230037468.0,84069149485.0
0.37,110,34120615826.0,72545386792.0,106683233818.0
0.38,99,30626882578.0,55590375887.0,86232735739.0
0.39,134,41892600141.0,73967325049.0,115880697878.0
0.4,139,43626679573.0,88039393590.0,131687843317.0
0.41000000000000003,305,96019217264.0,171604407312.0,267671076204.0
0.42,235,75358456185.0,144236063219.0,219631111180.0
0.43,2,1061485607.0,1666150468.0,2727955483.0
0.44,2,1063092198.0,1141310327.0,2204721933.0
0.45,2,1059227815.0,1177026146.0,2236573369.0
0.46,2,1060355630.0,1135037036.0,2195712074.0
0.47000000000000003,2,1054200732.0,1251967328.0,2306493072.0
0.48,2,1065770561.0,1273612973.0,2339708546.0
0.49,2,1066869334.0,1275584777.0,2342779123.0
0.5,2,1057525628.0,1262563991.0,2320414631.0
0.51,2,1067805752.0,1253879507.0,2322010271.0
0.52,2,1067469824.0,1247633573.0,2315428409.0
0.53,2,1065809586.0,1634116919.0,2700251517.0
0.54,2,1068295885.0,1546781977.0,2615402874.0
0.55,2,1064460608.0,1623540271.0,2688325891.0
0.56,2,1062134402.0,1632741957.0,2695201371.0
0.5700000000000001,2,1069820632.0,1631604268.0,2701749912.0
0.58,2,1071838012.0,1637665196.0,2709828220.0
0.59,2,1072356938.0,1609691869.0,2682373819.0
0.6,2,1072630352.0,1584868095.0,2657823459.0
0.61,2,1073210028.0,1576461874.0,2649996914.0
0.62,2,1073836457.0,1572647912.0,2646809381.0
0.63,2,1073585581.0,1356715010.0,2430625603.0
0.64,2,1074406321.0,1359642318.0,2434373651.0
0.65,2,1073987642.0,1335318725.0,2409631379.0
0.66,2,1073760271.0,1313377118.0,2387462401.0
0.67,2,1074292648.0,1133859317.0,2208476977.0
0.68,2,1074793431.0,1087808458.0,2162926901.0
0.6900000000000001,2,1074500143.0,1131774024.0,2206599179.0
0.7000000000000001,2,1074545111.0,1148218428.0,2223088551.0
0.71,2,1074369950.0,1218226330.0,2292921292.0
0.72,2,1074206682.0,1229619637.0,2304151331.0
0.73,2,1073565108.0,1229657626.0,2303547746.0
0.74,2,1073226826.0,1222918993.0,2296470831.0
0.75,2,1072593419.0,1222235714.0,2295154145.0
0.76,2,1074129630.0,1129618050.0,2204072692.0
0.77,2,1074587738.0,1123393576.0,2198306326.0
0.78,3,1437586588.0,2000687865.0,3438756367.0
0.79,3,1437402641.0,1993994993.0,3431879548.0
0.8,3,1436585693.0,1961012912.0,3398080519.0
0.81,3,1436923431.0,2103544018.0,3540949363.0
0.8200000000000001,3,1436895413.0,2098790680.0,3536168007.0
0.8300000000000001,3,1436837034.0,2097883114.0,3535202062.0
0.84,3,1437178916.0,2089057577.0,3526718407.0
0.85,3,1437548102.0,2104604887.0,3542634903.0
0.86,3,1437916670.0,2065080931.0,3503479515.0
0.87,3,1437792581.0,2063248615.0,3501523110.0
0.88,3,1438333505.0,2067930436.0,3506745855.0
0.89,3,1438454589.0,2077692876.0,3516629379.0
0.9,3,1438818872.0,2036461306.0,3475762092.0
0.91,3,1438839341.0,2064018196.0,3503339451.0
0.92,3,1438984833.0,2047675792.0,3487142539.0
0.93,3,1438064048.0,1956086476.0,3394632438.0
0.9400000000000001,3,1438717438.0,1957361365.0,3396560717.0
0.9500000000000001,3,1438498279.0,1956492193.0,3395472386.0
0.96,3,1439505081.0,2032339435.0,3472326430.0
0.97,3,1438396137.0,2032160809.0,3471038860.0
0.98,3,1439827923.0,2036073241.0,3476383078.0
0.99,3,1438735120.0,2037584966.0,3476802000.0
1.0,3,1438872257.0,2056509296.0,3495863467.0
