t,# Iterations,AltMin FLOPs,MSPIN FLOPs,Total FLOPs
0.5,6,10038291.0,9717986.0,19795841.0
0.8235294117647058,4,8575847.0,6440625.0,15044412.0
1.1470588235294117,5,9599759.0,7810511.0,17444124.0
1.4705882352941178,13,22144822.0,23095321.0,45327225.0
1.7941176470588236,6,10301061.0,9839651.0,20181500.0
2.1176470588235294,9,14431226.0,16252818.0,30745430.0
2.4411764705882355,12,19417322.0,22387136.0,41883382.0
2.764705882352941,28,44298526.0,62544840.0,107032622.0
3.088235294117647,28,45157710.0,63765399.0,109110529.0
3.4117647058823533,32,50992997.0,59526042.0,110733175.0
3.735294117647059,35,54971543.0,66520391.0,121719936.0
4.0588235294117645,48,74055898.0,93025023.0,167393353.0
4.382352941176471,43,67706592.0,85358633.0,153350535.0
4.705882352941177,33,53049266.0,67374748.0,120631620.0
5.029411764705882,55,84203237.0,107789506.0,192342289.0
5.352941176470589,47,71197476.0,86637014.0,158141824.0
5.676470588235294,46,62478392.0,77971195.0,140751619.0
6.0,58,76624795.0,83197564.0,160201683.0
