t,Elastic energy,Dissipated energy,Total energy,Time elapsed,Number of iterations
0.0,0.0,92.43104071874848,92.43104071874848,0.177600375999873,1.0,0.0
0.01,0.43255464075364836,92.43104611986925,92.86360076062323,0.2794667420000678,1.0,0.0
0.02,1.730088895246009,92.43112716636445,94.16121606161025,0.22357508899995082,1.0,0.0
0.03,3.8922134246929456,92.43147861086211,96.32369203555521,0.22108460499998728,1.0,0.0
0.04,6.918278203775907,92.43242579095514,99.35070399473105,0.22892470900001172,1.0,0.0
0.05,10.807370793220029,92.43442577867455,103.24179657189444,0.23420687399993767,1.0,0.0
0.06,15.55831384021831,92.43806904672495,107.99638288694317,0.2930654060000961,1.0,0.0
0.07,21.169661713505718,92.44408171868794,113.61374343219362,0.24831022700004723,1.0,0.0
0.08,27.639696140132916,92.45332849999338,120.09302464012634,0.24879406700006257,1.0,0.0
0.09,34.96641264396351,92.46682439081721,127.43323703478097,0.3912638839999545,2.0,0.0
0.1,43.147536478983206,92.48571665104919,135.6332531300323,0.35785990300018966,2.0,0.0
0.11,52.18048524900266,92.51131926757868,144.69180451658124,0.32688872600010654,2.0,0.0
0.12,62.062373145849435,92.54510540947766,154.60747855532708,0.365800765999893,2.0,0.0
0.13,72.78999280256483,92.58872136734621,165.37871416991112,0.32874042899993583,2.0,0.0
0.14,84.35979648669826,92.64400016084129,177.00379664753927,0.3783755659999315,2.0,0.0
0.15,96.76787181270721,92.71297931845373,189.48085113116093,0.34965412099995774,2.0,0.0
0.16,110.00990995184489,92.7979244289829,202.80783438082807,0.3826309979999678,2.0,0.0
0.17,124.08116334121377,92.9013608516278,216.98252419284165,0.3538286309999421,2.0,0.0
0.18,138.97638832959535,93.02611723741538,232.00250556701104,0.3895717820000755,2.0,0.0
0.19,154.6897656193743,93.17538660630237,247.8651522256765,0.3904421690001527,2.0,0.0
0.2,171.21375966545594,93.35383415626626,264.56759382172174,0.4908681660001548,3.0,0.0
0.21,188.54232518940572,93.56437609936106,282.10670128876706,0.4656158249999862,3.0,0.0
0.22,206.66621085359503,93.81279444422808,300.47900529782333,0.46983829600003446,3.0,0.0
0.23,225.57506786291572,94.10555855998506,319.6806264229008,0.46586687700005314,3.0,0.0
0.24,245.25181955140766,94.45526702491685,339.70708657632457,0.574544713000023,4.0,0.0
0.25,265.67914584977,94.8739511737121,360.5530970234816,0.6612018859998443,5.0,0.0
0.26,286.825186042826,95.38664600649469,382.21183204932026,0.7881347530001221,6.0,0.0
0.27,308.60477090103143,96.0680007771921,404.67277167822425,1.2103769370000919,9.0,0.0
0.28,170.0142921920231,241.58040347067455,411.5946956626975,104.7921684989999,945.0,0.0
0.29,166.00749832766348,257.3368219644715,423.3443202921349,23.384836077000045,209.0,0.0
0.3,161.37861696216578,272.6507785377929,434.0293954999588,14.964351796999836,133.0,0.0
0.31,157.9154240479229,286.5468158108693,444.4622398587919,23.40947435399994,214.0,0.0
0.32,153.73458781309466,300.5417634964002,454.2763513094945,22.182269632000043,203.0,0.0
0.33,156.96978070596322,306.8318864371981,463.80166714316204,10.768416645999878,99.0,0.0
0.34,148.20031268190615,324.53767965201223,472.7379923339193,27.241632552000056,248.0,0.0
0.35000000000000003,151.97654116233556,329.445546120732,481.4220872830674,8.408691143999931,76.0,0.0
0.36,156.4609031297847,333.6231580732081,490.08406120299253,7.202858967000111,66.0,0.0
0.37,154.95039491986233,343.6387966965571,498.58919161641904,17.749704058000134,161.0,0.0
0.38,153.7421574333104,352.9854501656248,506.7276075989356,17.41720079600009,159.0,0.0
0.39,155.69250911955368,359.05450994790385,514.7470190674576,13.25369630199998,122.0,0.0
0.4,150.09352437226818,372.26208013806024,522.3556045103276,24.024131233999924,222.0,0.0
0.41000000000000003,146.82710685433352,382.8550396741998,529.6821465285327,28.597604232999856,266.0,0.0
0.42,140.26096817512752,396.0366520357514,536.2976202108786,22.87354742599996,209.0,0.0
0.43,117.37445785366651,415.99366256640155,533.368120420068,14.893622495000045,129.0,0.0
0.44,122.82188195289223,416.0672911735679,538.8891731264597,0.39098713699991094,2.0,0.0
0.45,128.39040811041505,416.14330320366315,544.533711314079,0.37656317500000114,2.0,0.0
0.46,134.07964898419638,416.22196495028504,550.3016139344809,0.3848790069998813,2.0,0.0
0.47000000000000003,139.89015881494993,416.3026252690714,556.1927840840216,0.38809357400009503,2.0,0.0
0.48,145.81963298784927,416.38746038904316,562.207093376892,0.39205751100007546,2.0,0.0
0.49,151.8687157366461,416.4756589468959,568.344374683542,0.39629158600018854,2.0,0.0
0.5,158.03732985063505,416.5671654931755,574.6044953438103,0.392634586999975,2.0,0.0
0.51,164.32489008738227,416.66242224781115,580.9873123351939,0.39359127600005195,2.0,0.0
0.52,170.7306112958751,416.76205441051206,587.4926657063875,0.3954587390001052,2.0,0.0
0.53,177.2538183377823,416.866556150982,594.1203744887639,0.3813247009998122,2.0,0.0
0.54,183.89397571733858,416.9762706321833,600.8702463495222,0.3847690810000586,2.0,0.0
0.55,190.65048719206123,417.0915923761645,607.7420795682252,0.394736340999998,2.0,0.0
0.56,197.5237746928052,417.21190266288477,614.7356773556897,0.38164598600019417,2.0,0.0
0.5700000000000001,204.51265261112138,417.33819413830025,621.8508467494223,0.4009896430000026,2.0,0.0
0.58,211.61700153384004,417.4703734130168,629.0873749468567,0.40673182499995164,2.0,0.0
0.59,218.83602404087705,417.6090238061629,636.4450478470401,0.3931320219999179,2.0,0.0
0.6,226.16949945594612,417.7541425113754,643.9236419673209,0.4171099079999294,2.0,0.0
0.61,233.61726864273163,417.90567454982744,651.5229431925586,0.38726952499996514,2.0,0.0
0.62,241.17832509935255,418.0644039142909,659.2427290136435,0.4197545929998796,2.0,0.0
0.63,248.85212487300848,418.2306302610598,667.0827551340674,0.3876182209999115,2.0,0.0
0.64,256.638187484155,418.40459347071396,675.0427809548693,0.38090428100008467,2.0,0.0
0.65,264.53603952933645,418.5865184690122,683.1225579983491,0.3807352030000857,2.0,0.0
0.66,272.5450863466199,418.77674903661205,691.3218353832325,0.3738417550000577,2.0,0.0
0.67,280.66480839492283,418.9755452215629,699.6403536164859,0.38699595000002773,2.0,0.0
0.68,288.8949091547397,419.1829467453526,708.0778559000925,0.3859497509999983,2.0,0.0
0.6900000000000001,297.2349491355146,419.3991349984351,716.6340841339496,0.3763395830001173,2.0,0.0
0.7000000000000001,305.6842622293276,419.6245139891659,725.3087762184933,0.3726291240000137,2.0,0.0
0.71,314.24224834112295,419.85941447315423,734.101662814279,0.3794132250000075,2.0,0.0
0.72,322.9083380603448,420.1041318461803,743.0124699065238,0.37782978699988234,2.0,0.0
0.73,331.6820054856266,420.3589133625585,752.0409188481858,0.37044566600002327,2.0,0.0
0.74,340.56260385553105,420.62412405646364,761.1867279119939,0.38768601799984026,2.0,0.0
0.75,349.5493971416424,420.90020892827397,770.4496060699154,0.37524543599988647,2.0,0.0
0.76,358.64185395484316,421.187405432217,779.8292593870614,0.376424003000011,2.0,0.0
0.77,367.8392531320843,421.4861337968574,789.3253869289399,0.37855215600006886,2.0,0.0
0.78,377.1411265405277,421.7965590683983,798.9376856089257,0.3716700799998307,2.0,0.0
0.79,386.5466963565802,422.1191514421788,808.6658477987584,0.3705853090000346,2.0,0.0
0.8,396.0550249357881,422.4545301381985,818.5095550739869,0.36941974599994865,2.0,0.0
0.81,405.6657855338052,422.8026998461305,828.4684853799356,0.3655329950001942,2.0,0.0
0.8200000000000001,415.3781687289992,423.16414655540075,838.5423152844003,0.34733124600006704,2.0,0.0
0.8300000000000001,425.191585562148,423.5391303107193,848.7307158728663,0.37759952399983376,2.0,0.0
0.84,435.1053520009894,423.9280024546963,859.0333544556843,0.3644667500000196,2.0,0.0
0.85,445.1186448635743,424.3312476852763,869.4498925488529,0.3736191069999677,2.0,0.0
0.86,455.2308152493355,424.74917130658014,879.9799865559153,0.3748086640000565,2.0,0.0
0.87,465.44109436895866,425.18219350811233,890.6232878770713,0.3657572669999354,2.0,0.0
0.88,475.7487432835454,425.63069989501844,901.3794431785645,0.36372589500001595,2.0,0.0
0.89,486.15301884802057,426.0950747050501,912.2480935530691,0.36543977999986055,2.0,0.0
0.9,496.6531406321071,426.57573574736136,923.2288763794701,0.3642484790000253,2.0,0.0
0.91,507.24838180755864,427.07304109288765,934.3214229004454,0.3830708959999356,2.0,0.0
0.92,517.9379404579406,427.5874204300061,945.5253608879467,0.3685462329999609,2.0,0.0
0.93,528.7210227140463,428.11928973543337,956.8403124494798,0.37524125799996,2.0,0.0
0.9400000000000001,539.5967502882107,428.66914383872233,968.2658941269318,0.36570165200009797,2.0,0.0
0.9500000000000001,550.5643581011594,429.2373584058349,979.8017165069964,0.36088717600000564,2.0,0.0
0.96,561.6222771853377,429.8251092847188,991.4473864700549,0.4754681479998908,3.0,0.0
0.97,572.7710040407048,430.43150029462134,1003.2025043353267,0.4754374999999982,3.0,0.0
0.98,584.0090877043236,431.0575789087063,1015.0666666130311,0.48522149500013256,3.0,0.0
0.99,595.335724928797,431.7037403746616,1027.0394653034584,0.480964897000149,3.0,0.0
1.0,606.749887604044,432.3705990504163,1039.1204866544617,0.46818852399997013,3.0,0.0
