t,Elastic energy,Dissipated energy,Total energy,Time elapsed,Outer iterations,Inner iterations
0.0,0.0,92.43104071874833,92.43104071874833,0.16193621300021732,1.0,1.0
0.01,0.4325546428075075,92.43104611848128,92.86360076128913,0.40639873899999657,1.0,2.0
0.02,1.7300889868233345,92.43112709976651,94.16121608658973,0.3713083299999198,1.0,2.0
0.03,3.892214145023079,92.43147804786196,96.32369219288444,0.3731638799999928,1.0,2.0
0.04,6.918281259644513,92.43242328940909,99.35070454905357,0.3714685909999389,1.0,2.0
0.05,10.807380150592756,92.43441787525073,103.24179802584341,0.36972291699999005,1.0,2.0
0.06,15.558337240576947,92.43804883757416,107.99638607815118,0.37505135099991094,1.0,2.0
0.07,21.1697126863672,92.44403696596208,113.61374965232912,0.372337755999979,1.0,2.0
0.08,27.639796615603558,92.45323916990492,120.09303578550832,0.37376305699990553,1.0,2.0
0.09,34.966604329940296,92.46665152266961,127.43325585261007,0.3754164169999967,1.0,2.0
0.1,43.147870278465184,92.48541311524784,135.63328339371293,0.3718888710000101,1.0,2.0
0.11,52.181040569529834,92.51081089224085,144.6918514617705,0.36407201699989855,1.0,2.0
0.12,62.06326365939143,92.54428569805246,154.60754935744393,0.36215956000000915,1.0,2.0
0.13,72.79137880736155,92.58743983682876,165.3788186441901,0.3556729270001142,1.0,2.0
0.14,84.36190169061895,92.64204655132379,177.00394824194302,0.37058485800002927,1.0,2.0
0.15,96.76794549140186,92.71290561192775,189.48085110332931,0.8070847819999472,3.0,6.0
0.16,110.01388861490668,92.79418129862975,202.80806991353626,0.4288821929999358,1.0,2.0
0.17,124.08142745275325,92.90109675768718,216.98252421044035,0.8193725459998404,3.0,6.0
0.18,138.98426834308327,93.0186692206872,232.0029375637706,0.45380163999993783,1.0,2.0
0.19,154.69065194017264,93.17450149626254,247.86515343643543,0.849318669000013,3.0,6.0
0.2,171.21584844856264,93.35175301552528,264.56760146408794,0.9172789510000712,3.0,6.0
0.21,188.5430303756698,93.56367118219737,282.1067015578668,1.0832193769999776,4.0,8.0
0.22,206.6948175948154,93.78508849939917,300.4799060942146,0.8777902379999887,3.0,6.0
0.23,225.63306587747726,94.04963971445082,319.68270559192854,1.123569942000131,4.0,8.0
0.24,245.34586195894707,94.3653684293361,339.711230388283,1.154377113999999,4.0,8.0
0.25,265.83095992550443,94.72948100860347,360.56044093410816,1.1814110479999727,4.0,8.0
0.26,287.0683650066019,95.15987752377426,382.2282425303757,0.5080695350000042,1.0,3.0
0.27,309.0484617015998,95.65380003314486,404.7022617347452,0.46624422600007165,1.0,3.0
0.28,331.75607138537504,96.22186447810515,427.9779358634803,0.46543764900002316,1.0,3.0
0.29,355.19432359833377,96.84666877385763,452.0409923721915,1.284588228000075,4.0,9.0
0.3,379.32651615702787,97.56668346018395,476.893199617212,1.3724335460001384,4.0,9.0
0.31,404.1246841486074,98.388351232753,502.51303538136017,1.3332913649999227,4.0,9.0
0.32,429.5383234136456,99.34385047472176,528.8821738883669,0.7929412359999333,2.0,5.0
0.33,455.5351063839802,100.43401246021959,555.9691188441996,1.0288625139999112,3.0,7.0
0.34,482.04705133964757,101.70354565613668,583.7505969957849,0.9992595779999647,3.0,6.0
0.35000000000000003,509.0697369965781,103.11739104240243,612.1871280389807,1.1135229820001769,3.0,7.0
0.36,536.5789855350595,104.67194880036396,641.2509343354243,0.7763706040000216,2.0,5.0
0.37,564.4728859015138,106.44969844292606,670.9225843444397,0.8035634979999031,2.0,5.0
0.38,592.7358664751721,108.41985758870743,701.1557240638795,1.4004076800001712,4.0,9.0
0.39,621.3301746160332,110.59978785079228,731.9299624668245,1.6258221639998283,5.0,11.0
0.4,650.1826660845536,113.01123405253773,763.1939001370922,1.6408215989999917,5.0,11.0
0.41000000000000003,679.2629271689684,115.66033913059556,794.9232662995623,1.5290060990000711,5.0,11.0
0.42,708.5024272750386,118.56897297946239,827.0714002545008,1.5801891319999868,5.0,11.0
0.43,737.833727479823,121.77309485906656,859.6068223388887,1.8277107420001357,6.0,13.0
0.44,767.2390710147722,125.26494960428033,892.5040206190529,1.5439957070000219,5.0,11.0
0.45,796.6102464002574,129.09274488334378,925.7029912836012,1.6070079720000194,5.0,11.0
0.46,825.9022346769646,133.25622909892155,959.1584637758856,1.2761282440001196,4.0,9.0
0.47000000000000003,854.8198859443321,138.0526791010011,992.8725650453343,0.8183266089999961,2.0,6.0
0.48,883.3480859118333,143.0198847774147,1026.3679706892478,1.0253052129999105,3.0,7.0
0.49,911.7192329870763,148.4426635601024,1060.1618965471775,1.0582780090001052,3.0,7.0
