Elastic its,Damage its,Newton inner its,FP step,Newton step
1,1,1.0,0.0,0.0
Elastic its,Damage its,Newton inner its,FP step,Newton step
1,1,1.0,0.007421999638947584,0.0
1,1,1.0,5.9709259585278505e-05,0.0
1,1,1.0,1.7713559801839602e-06,0.0
1,1,1.0,6.242895195554659e-08,0.0
1,1,1.0,2.2834951661944373e-09,0.0
Elastic its,Damage its,Newton inner its,FP step,Newton step
1,1,1.0,0.02114951806705123,0.0
1,1,1.0,0.0006517156244848911,0.0
1,1,1.0,7.616238556796774e-05,0.0
1,1,1.0,1.0583685716743151e-05,0.0
1,1,1.0,1.5286765392842208e-06,0.0
1,1,1.0,2.2333568310024976e-07,0.0
1,1,1.0,3.275796554151623e-08,0.0
1,1,1.0,4.8122275462428945e-09,0.0
Elastic its,Damage its,Newton inner its,FP step,Newton step
1,1,1.0,0.03204280869294025,0.0
0,1,1.0,4.2040129969819493e-16,0.0
Elastic its,Damage its,Newton inner its,FP step,Newton step
1,1,1.0,0.04048443556993418,0.0
1,1,1.0,0.005265633280382456,0.0
1,1,1.0,0.002415685764761135,0.0
1,1,1.0,0.0012919558885002953,0.0
1,1,1.0,0.0007234034754792083,0.0
1,1,1.0,0.00041265343957029403,0.0
1,1,1.0,0.000237431262367596,0.0
1,1,1.0,0.00013720788054344705,0.0
1,1,1.0,7.947349231183831e-05,0.0
1,1,1.0,4.609078566702839e-05,0.0
1,1,1.0,2.6749266084462397e-05,0.0
1,1,1.0,1.5530382624482515e-05,0.0
1,1,1.0,9.018833743975986e-06,0.0
1,1,1.0,5.238107913295856e-06,0.0
1,1,1.0,3.042498846935473e-06,0.0
1,1,1.0,1.7672772597413743e-06,0.0
1,1,1.0,1.0265720780786552e-06,0.0
1,1,1.0,5.963211774971948e-07,0.0
1,1,1.0,3.46397288822358e-07,0.0
1,1,1.0,2.0121980812759036e-07,0.0
1,1,1.0,1.1688751513270638e-07,0.0
1,1,1.0,6.78994387511887e-08,0.0
1,1,1.0,3.9442517325529094e-08,0.0
1,1,1.0,2.2912015066824863e-08,0.0
1,1,1.0,1.3309510223761467e-08,0.0
1,1,1.0,7.731449739163987e-09,0.0
Elastic its,Damage its,Newton inner its,FP step,Newton step
1,1,1.0,0.04189669049937906,0.0
1,1,1.0,0.00863312600854439,0.0
1,1,1.0,0.006228301162092606,0.0
1,1,1.0,0.005189061273276894,0.0
1,1,1.0,0.00458949443407148,0.0
1,1,1.0,0.004219832422872313,0.0
1,1,1.0,0.0040009225928096855,0.0
1,1,1.0,0.003896403337053137,0.0
1,1,1.0,0.0038894246770663807,0.0
1,1,1.0,0.003974732766899231,0.0
1,1,1.0,0.0041558064619271725,0.0
1,1,1.0,0.0044441899459609115,0.0
1,1,1.0,0.0048600019095449525,0.0
1,1,1.0,0.0054329060382651215,0.0
1,1,1.0,0.006202130156602276,0.0
1,1,1.0,0.007211618012133947,0.0
1,1,1.0,0.008489941609389562,0.0
1,1,1.0,0.009992625073747282,0.0
1,1,1.0,0.011486596500812839,0.0
1,1,1.0,0.012494601345037576,0.0
1,1,1.0,0.012722571049825286,0.0
1,1,1.0,0.011566376925204916,0.0
1,1,1.0,0.005634351938132309,0.0
1,1,1.0,0.0008474181754624346,0.0
1,1,1.0,0.00010778426112119573,0.0
1,1,1.0,2.0420230589407263e-05,0.0
1,1,1.0,3.889444589925575e-06,0.0
1,1,1.0,7.349835359614899e-07,0.0
1,1,1.0,1.3865091754687193e-07,0.0
1,1,1.0,2.6148479688509822e-08,0.0
1,1,1.0,4.931328191795095e-09,0.0
Elastic its,Damage its,Newton inner its,FP step,Newton step
1,1,1.0,0.0017980286154229014,0.0
1,1,1.0,0.00012163655831850808,0.0
1,1,1.0,1.1618259312605224e-05,0.0
1,1,1.0,1.2890177002197963e-06,0.0
1,1,1.0,1.4356839368164185e-07,0.0
1,1,1.0,1.977570668081584e-08,0.0
1,1,1.0,3.613617208093212e-08,0.0
1,1,1.0,1.1311924284473185e-07,0.0
1,1,1.0,3.545490461320963e-07,0.0
1,1,1.0,1.1112667834652982e-06,0.0
1,1,1.0,3.483067984470783e-06,0.0
1,1,1.0,1.0917160208415101e-05,0.0
1,1,1.0,3.4220579220471785e-05,0.0
1,1,1.0,0.00010733689506868275,0.0
1,1,1.0,0.00033881544767160293,0.0
1,1,1.0,0.0011325846179053162,0.0
1,1,1.0,0.0050249278084889635,0.0
1,1,1.0,0.010016562146891722,0.0
