Elastic its,Damage its,Newton inner its,FP step,Newton step
1,1,1.0,2.256029295404095,0.0
1,1,1.0,0.011852788290166175,0.0
1,1,1.0,0.0007694696951641028,0.0
1,1,1.0,6.541417649167541e-05,0.0
Elastic its,Damage its,Newton inner its,FP step,Newton step
1,1,1.0,0.05145409285042655,0.0
1,1,1.0,0.00018292077448545539,0.0
1,1,1.0,4.163599503829448e-06,0.0
Elastic its,Damage its,Newton inner its,FP step,Newton step
1,1,1.0,0.137062182573786,0.0
1,1,1.0,0.010398753221630728,0.0
1,1,1.0,0.001876243330136161,0.0
1,1,1.0,0.000372765914206891,0.0
1,1,1.0,7.679269854725488e-05,0.0
Elastic its,Damage its,Newton inner its,FP step,Newton step
1,1,1.0,0.8455004243583074,0.0
1,1,1.0,0.1413018640312146,0.0
1,1,1.0,0.10135281800622849,0.0
1,1,1.0,0.08001672616279502,0.0
1,1,1.0,0.0662333291594124,0.0
1,1,1.0,0.056545500955074685,0.0
1,1,1.0,0.04808538288277703,0.0
1,1,1.0,0.040734585380421524,0.0
1,1,1.0,0.03483063768867358,0.0
1,1,1.0,0.029898144326503215,0.0
1,1,1.0,0.025613961183057685,0.0
1,1,1.0,0.021811453498345415,0.0
1,1,1.0,0.01839628843025351,0.0
1,1,1.0,0.015343501946575739,0.0
1,1,1.0,0.012659690387016566,0.0
1,1,1.0,0.010348771780754678,0.0
1,1,1.0,0.008398015690226471,0.0
1,1,1.0,0.006778144768967113,0.0
1,1,1.0,0.00544966637188627,0.0
1,1,1.0,0.004369777814100741,0.0
1,1,1.0,0.0034972938168099095,0.0
1,1,1.0,0.002795283427451399,0.0
1,1,1.0,0.0022320228464541604,0.0
1,1,1.0,0.0017809703332078155,0.0
1,1,1.0,0.0014202777989627715,0.0
1,1,1.0,0.0011321421315145087,0.0
1,1,1.0,0.0009021498126593757,0.0
1,1,1.0,0.0007186813698736877,0.0
1,1,1.0,0.0005723974254504478,0.0
1,1,1.0,0.0004558073345336806,0.0
1,1,1.0,0.0003629129131322477,0.0
1,1,1.0,0.0002889170841538753,0.0
1,1,1.0,0.00022998715981135235,0.0
1,1,1.0,0.0001830633904564169,0.0
1,1,1.0,0.0001457046445382976,0.0
1,1,1.0,0.00011596433933363651,0.0
1,1,1.0,9.229089504891188e-05,0.0
Elastic its,Damage its,Newton inner its,FP step,Newton step
1,1,1.0,1.2799733454881246,0.0
1,1,1.0,0.2283908839586636,0.0
1,1,1.0,0.19003797778025516,0.0
1,1,1.0,0.1648906047781163,0.0
1,1,1.0,0.14270109520466873,0.0
1,1,1.0,0.11547815518723088,0.0
1,1,1.0,0.10120918042861768,0.0
1,1,1.0,0.09228503231077448,0.0
1,1,1.0,0.07639673448218393,0.0
1,1,1.0,0.0574742497339456,0.0
1,1,1.0,0.04389950642149715,0.0
1,1,1.0,0.03466713861701508,0.0
1,1,1.0,0.02811299618505761,0.0
1,1,1.0,0.023540412825445473,0.0
1,1,1.0,0.02057838211503981,0.0
1,1,1.0,0.01892635643189597,0.0
1,1,1.0,0.018246939377763494,0.0
1,1,1.0,0.01815297854571503,0.0
1,1,1.0,0.018261381599372368,0.0
1,1,1.0,0.018255111287035143,0.0
1,1,1.0,0.01792455621269405,0.0
1,1,1.0,0.017186662246939908,0.0
1,1,1.0,0.016077508035054765,0.0
1,1,1.0,0.014714945090851387,0.0
1,1,1.0,0.013243756683741474,0.0
1,1,1.0,0.011787679267322073,0.0
1,1,1.0,0.010425865935323577,0.0
1,1,1.0,0.009193833592649896,0.0
1,1,1.0,0.008097232753484684,0.0
1,1,1.0,0.007126721673835643,0.0
1,1,1.0,0.00626819678583091,0.0
1,1,1.0,0.005507884957433221,0.0
1,1,1.0,0.004834018513584739,0.0
1,1,1.0,0.004236876978232499,0.0
1,1,1.0,0.003708313210426033,0.0
1,1,1.0,0.0032412716721893988,0.0
1,1,1.0,0.002829451132570878,0.0
1,1,1.0,0.002467110791429436,0.0
1,1,1.0,0.002148974883365937,0.0
1,1,1.0,0.0018701918701690095,0.0
1,1,1.0,0.001626317774110368,0.0
1,1,1.0,0.0014133062110181897,0.0
1,1,1.0,0.001227496825166554,0.0
1,1,1.0,0.0010655992551145772,0.0
1,1,1.0,0.000924672547079048,0.0
1,1,1.0,0.0008021011109878781,0.0
1,1,1.0,0.0006955686216527682,0.0
1,1,1.0,0.0006030311614831141,0.0
1,1,1.0,0.000522690638706863,0.0
1,1,1.0,0.0004529692265406583,0.0
1,1,1.0,0.00039248531194108747,0.0
1,1,1.0,0.00034003123673710184,0.0
1,1,1.0,0.0002945529598644472,0.0
1,1,1.0,0.00025513166019951986,0.0
1,1,1.0,0.00022096722606279202,0.0
1,1,1.0,0.0001913635311339304,0.0
1,1,1.0,0.00016571536994050326,0.0
1,1,1.0,0.00014349691338808515,0.0
1,1,1.0,0.00012425154158911505,0.0
1,1,1.0,0.00010758291424831892,0.0
1,1,1.0,9.314714573382367e-05,0.0
Elastic its,Damage its,Newton inner its,FP step,Newton step
1,1,1.0,1.3862353916741121,0.0
1,1,1.0,0.26268391725067625,0.0
1,1,1.0,0.21691713332410156,0.0
1,1,1.0,0.18727124062415362,0.0
1,1,1.0,0.17150710371354483,0.0
1,1,1.0,0.14298412395886678,0.0
1,1,1.0,0.11618957500185657,0.0
1,1,1.0,0.09934723343445037,0.0
1,1,1.0,0.0872065076364663,0.0
1,1,1.0,0.07739101597180849,0.0
1,1,1.0,0.06869315718979624,0.0
1,1,1.0,0.06050828711798031,0.0
1,1,1.0,0.05291697780513917,0.0
1,1,1.0,0.04705111521749819,0.0
1,1,1.0,0.045264882791466114,0.0
1,1,1.0,0.049559053075790054,0.0
1,1,1.0,0.05700682074960072,0.0
1,1,1.0,0.0574388009256857,0.0
1,1,1.0,0.04400411419004163,0.0
1,1,1.0,0.02708031459211669,0.0
1,1,1.0,0.01750429726629062,0.0
1,1,1.0,0.01364446465506319,0.0
1,1,1.0,0.011726706276200633,0.0
1,1,1.0,0.01034935218720725,0.0
1,1,1.0,0.009180399993642391,0.0
1,1,1.0,0.008142378540718257,0.0
1,1,1.0,0.007211831899859855,0.0
1,1,1.0,0.006377514400371755,0.0
1,1,1.0,0.005631224227076244,0.0
1,1,1.0,0.004965593023498181,0.0
1,1,1.0,0.004373558373086597,0.0
1,1,1.0,0.003848296507376,0.0
1,1,1.0,0.0033832786385193277,0.0
1,1,1.0,0.002972344188839734,0.0
1,1,1.0,0.00260975692143252,0.0
1,1,1.0,0.002290236472482343,0.0
1,1,1.0,0.002008967557478885,0.0
1,1,1.0,0.0017615920615531061,0.0
1,1,1.0,0.0015441893584533417,0.0
1,1,1.0,0.001353249330568035,0.0
1,1,1.0,0.0011856414774139893,0.0
1,1,1.0,0.0010385825185679424,0.0
1,1,1.0,0.0009096041141316255,0.0
1,1,1.0,0.0007965217423237237,0.0
1,1,1.0,0.0006974053572580338,0.0
1,1,1.0,0.0006105521617852363,0.0
1,1,1.0,0.0005344616361533911,0.0
1,1,1.0,0.00046781283599322095,0.0
1,1,1.0,0.0004094438925098451,0.0
1,1,1.0,0.000358333599161975,0.0
1,1,1.0,0.0003135849422178931,0.0
1,1,1.0,0.00027441042022873635,0.0
1,1,1.0,0.00024011899465278992,0.0
1,1,1.0,0.00021010451720784122,0.0
1,1,1.0,0.00018383548664578647,0.0
1,1,1.0,0.00016084599696362725,0.0
1,1,1.0,0.0001407277494777267,0.0
1,1,1.0,0.00012312301199177668,0.0
1,1,1.0,0.00010771841899373013,0.0
1,1,1.0,9.42395171316112e-05,0.0
Elastic its,Damage its,Newton inner its,FP step,Newton step
1,1,1.0,1.4086033329295766,0.0
1,1,1.0,0.2545536247168231,0.0
1,1,1.0,0.21685773958668056,0.0
1,1,1.0,0.19645785289381995,0.0
1,1,1.0,0.18857030860935683,0.0
1,1,1.0,0.16763431877006815,0.0
1,1,1.0,0.1542282240704697,0.0
1,1,1.0,0.153006808594927,0.0
1,1,1.0,0.1307272107592691,0.0
1,1,1.0,0.1021818471902288,0.0
1,1,1.0,0.09052435343835269,0.0
1,1,1.0,0.09280341565910552,0.0
1,1,1.0,0.10816532045523436,0.0
1,1,1.0,0.11188864044829941,0.0
1,1,1.0,0.07743928653990799,0.0
1,1,1.0,0.049879518062954604,0.0
1,1,1.0,0.038529344076906266,0.0
1,1,1.0,0.03141091960048466,0.0
1,1,1.0,0.02596588497351668,0.0
1,1,1.0,0.02161322296562809,0.0
1,1,1.0,0.01807402716813773,0.0
1,1,1.0,0.01516952351422967,0.0
1,1,1.0,0.012773341910063752,0.0
1,1,1.0,0.010789879733817816,0.0
1,1,1.0,0.009143220211770118,0.0
1,1,1.0,0.007771636271321415,0.0
1,1,1.0,0.006624726940922138,0.0
1,1,1.0,0.0056615607815224045,0.0
1,1,1.0,0.004849137334325311,0.0
1,1,1.0,0.004160980339172811,0.0
1,1,1.0,0.0035758681516049056,0.0
1,1,1.0,0.003076740485861397,0.0
1,1,1.0,0.0026497996415782094,0.0
1,1,1.0,0.002283797863824487,0.0
1,1,1.0,0.001969486019836336,0.0
1,1,1.0,0.0016991929870438954,0.0
1,1,1.0,0.0014665063026478547,0.0
1,1,1.0,0.0012660290501519834,0.0
1,1,1.0,0.001093193230784157,0.0
1,1,1.0,0.0009441147372136573,0.0
1,1,1.0,0.0008154790368620484,0.0
1,1,1.0,0.0007044497227433853,0.0
1,1,1.0,0.000608594323491435,0.0
1,1,1.0,0.0005258233557471759,0.0
1,1,1.0,0.0004543397180936852,0.0
1,1,1.0,0.0003925963027687738,0.0
1,1,1.0,0.00033926024270711534,0.0
1,1,1.0,0.00029318259123329974,0.0
1,1,1.0,0.0002533725016325333,0.0
1,1,1.0,0.00021897516900723984,0.0
1,1,1.0,0.0001892529409552373,0.0
1,1,1.0,0.00016356911239876848,0.0
1,1,1.0,0.0001413740038885683,0.0
1,1,1.0,0.00012219298889687755,0.0
1,1,1.0,0.00010561618873738472,0.0
1,1,1.0,9.128959706163994e-05,0.0
Elastic its,Damage its,Newton inner its,FP step,Newton step
1,1,1.0,1.395826129213781,0.0
1,1,1.0,0.2773787135396627,0.0
1,1,1.0,0.23175692066141101,0.0
1,1,1.0,0.18967836182121894,0.0
1,1,1.0,0.16516049454623613,0.0
1,1,1.0,0.16077539346557845,0.0
1,1,1.0,0.1611577974497781,0.0
1,1,1.0,0.13071475449863157,0.0
1,1,1.0,0.102409185762735,0.0
1,1,1.0,0.08549627363397624,0.0
1,1,1.0,0.07222230059391987,0.0
1,1,1.0,0.06217990388317979,0.0
1,1,1.0,0.0536660462305897,0.0
1,1,1.0,0.0454988402943759,0.0
1,1,1.0,0.03772487365558647,0.0
1,1,1.0,0.030843360625343045,0.0
1,1,1.0,0.02515961915286858,0.0
1,1,1.0,0.020672197159364723,0.0
1,1,1.0,0.017198312942869637,0.0
1,1,1.0,0.014504097968141845,0.0
1,1,1.0,0.012378612999748179,0.0
1,1,1.0,0.010660112392659713,0.0
1,1,1.0,0.00923552325898701,0.0
1,1,1.0,0.008029676489705153,0.0
1,1,1.0,0.006993434206079982,0.0
1,1,1.0,0.006094242990325669,0.0
1,1,1.0,0.0053096628535103186,0.0
1,1,1.0,0.004623307628112431,0.0
1,1,1.0,0.0040224411773463736,0.0
1,1,1.0,0.0034966102468676733,0.0
1,1,1.0,0.003036887807263882,0.0
1,1,1.0,0.0026354594716130244,0.0
1,1,1.0,0.002285394892203145,0.0
1,1,1.0,0.001980514834868099,0.0
1,1,1.0,0.0017153055479423346,0.0
1,1,1.0,0.0014848553826261194,0.0
1,1,1.0,0.0012848014465148506,0.0
1,1,1.0,0.0011112808416321432,0.0
1,1,1.0,0.000960884431997698,0.0
1,1,1.0,0.0008306126590180868,0.0
1,1,1.0,0.0007178335537578241,0.0
1,1,1.0,0.0006202432655019822,0.0
1,1,1.0,0.00053582939246211,0.0
1,1,1.0,0.00046283729381562023,0.0
1,1,1.0,0.00039973944502739366,0.0
1,1,1.0,0.00034520779715241427,0.0
1,1,1.0,0.0002980890239787112,0.0
1,1,1.0,0.00025738248840532726,0.0
1,1,1.0,0.00022222072780093787,0.0
1,1,1.0,0.00019185224279703308,0.0
1,1,1.0,0.0001656263706937501,0.0
1,1,1.0,0.00014298002978335538,0.0
1,1,1.0,0.0001234261314924425,0.0
1,1,1.0,0.00010654347113092789,0.0
1,1,1.0,9.196792360721126e-05,0.0
Elastic its,Damage its,Newton inner its,FP step,Newton step
1,1,1.0,1.404585622027899,0.0
1,1,1.0,0.28137730743001993,0.0
1,1,1.0,0.2318492933043498,0.0
1,1,1.0,0.1837142667396223,0.0
1,1,1.0,0.14798567083671293,0.0
1,1,1.0,0.1245297477982365,0.0
1,1,1.0,0.1110313169425692,0.0
1,1,1.0,0.11413294317040162,0.0
1,1,1.0,0.14063636400116736,0.0
1,1,1.0,0.16242822537409068,0.0
1,1,1.0,0.117729649126655,0.0
1,1,1.0,0.06301651840281348,0.0
1,1,1.0,0.04515033074082514,0.0
1,1,1.0,0.037789656593991375,0.0
1,1,1.0,0.03240020534069641,0.0
1,1,1.0,0.028084897902995874,0.0
1,1,1.0,0.02471619977010046,0.0
1,1,1.0,0.02212396688474471,0.0
1,1,1.0,0.02010662599751325,0.0
1,1,1.0,0.018484345127112483,0.0
1,1,1.0,0.01711971940631346,0.0
