Elastic its,Damage its,Newton inner its,FP step,Newton step
1,1,1,134.46610426746048,134.4661042674606
1,1,3,4.880830057657356,5.063096245107562
1,1,3,0.16081778765590546,0.18240207163631136
Elastic its,Damage its,Newton inner its,FP step,Newton step
1,1,3,9.50251194253323,9.602884702639198
1,1,4,0.07663236489281978,0.10136976652818337
Elastic its,Damage its,Newton inner its,FP step,Newton step
1,1,4,9.392712387319795,9.548659212972034
1,1,4,0.09027455195176805,0.1274462271721774
Elastic its,Damage its,Newton inner its,FP step,Newton step
1,1,4,9.337366789750385,9.57517772404673
1,1,5,0.10841242937124274,0.1580165064473428
Elastic its,Damage its,Newton inner its,FP step,Newton step
1,1,4,9.33467411419853,9.689914533179335
1,1,6,0.13555128401608407,0.19481131101456128
1,1,6,0.01596936377918333,0.020921150340867244
Elastic its,Damage its,Newton inner its,FP step,Newton step
1,1,5,9.372261530785376,9.896028515574113
1,1,7,0.1770061005264428,0.25205341962548705
1,1,7,0.03994105760503847,0.05010395866160795
1,1,8,0.0071848695192518125,0.010551078840189061
Elastic its,Damage its,Newton inner its,FP step,Newton step
1,1,6,9.44026668334274,10.231410420725107
1,1,8,0.24712754760849584,0.3441257633719002
1,1,9,0.10657190102169257,0.1235663627619891
1,1,9,0.02579294440038321,0.03680853140125046
1,1,9,0.011797345417371052,0.01615147223864571
Elastic its,Damage its,Newton inner its,FP step,Newton step
1,1,8,9.535356286577086,11.022629101140687
1,1,9,0.6117779974571808,0.7311053261868952
1,1,9,0.5460463902378992,0.7844921643216756
1,1,9,0.1763827583835739,0.204425769099368
1,1,8,0.1144427242180964,0.1089668649438638
1,1,9,0.12520337974241738,0.08318592194843477
1,1,9,0.11607281641879047,0.07201685744724208
1,1,9,0.1114864330566395,0.06537575989285363
1,1,9,0.10470025634152967,0.060068320564187434
1,1,9,0.09823407377299152,0.05561261019581659
1,1,9,0.0916517115334347,0.051546145750154634
1,1,9,0.08529425370985659,0.04779034786763673
1,1,9,0.07917319699454049,0.04427351198565694
1,1,9,0.07335391061181383,0.04097685286497203
1,1,9,0.06785137727623104,0.037885255791186984
1,1,9,0.06267679505461311,0.03499088049490939
1,1,9,0.057829209684934664,0.03228619778002787
1,1,9,0.053302974967009906,0.029764096273921785
1,1,9,0.04908813048253665,0.027416951115938497
1,1,9,0.045172275521616984,0.025236728078806555
1,1,9,0.041541306169707824,0.023215000136851308
1,1,9,0.03818016502920399,0.02134310843400457
1,1,9,0.03507331689718231,0.019612298521174572
1,1,9,0.03220513171296375,0.01801385586386136
